TRN,Date of birth,Induction period end date,Number of terms,Outcome
3001343,2002-04-02,2025-04-23,3.4,release
3000574,1981-07-02,2025-04-18,11.0,fail
3000991,2001-08-19,2025-03-20,2.3,pass
2920971,1993-04-01,2025-03-18,6.4,fail
3001201,2002-11-25,2025-03-14,7.5,release
3000875,2003-09-10,2025-03-20,10.6,fail
3000865,1977-05-13,2025-03-11,6.1,fail
3002556,1989-06-04,2025-03-12,14.7,fail
3000983,2002-07-02,2025-03-26,1.9,pass
3001055,2003-08-07,2025-04-07,2.7,fail
3000590,1996-12-20,2025-04-15,11.8,pass
3001789,1945-04-04,2025-04-17,14.4,fail
1000846,1987-04-04,2025-05-07,13.4,release
3000709,1999-10-07,2025-03-28,14.9,fail
2920890,1999-03-21,2025-04-02,15.7,pass
3001448,1991-07-16,2025-04-29,12.0,pass
3001104,1979-08-20,2025-04-06,12.4,pass
3000525,2001-12-14,2025-05-02,9.5,fail
3001364,1999-01-25,2025-04-29,14.5,release
3001290,2002-11-03,2025-05-07,2.2,release
3000788,1997-03-22,2025-04-24,6.5,pass
3001110,1997-09-20,2025-04-29,14.2,fail
3001738,1980-05-10,2025-04-16,7.5,fail
3001159,1995-03-28,2025-03-27,0.2,pass
3001045,1999-11-10,2025-04-04,5.4,fail
3000712,1998-09-27,2025-04-07,9.6,fail
3001006,1995-04-17,2025-03-13,11.1,fail
3000737,2001-10-24,2025-03-18,0.5,fail
2908398,1966-08-11,2025-04-01,5.8,release
2908325,1987-08-01,2025-04-06,7.5,release
3000623,2001-10-26,2025-05-02,12.6,pass
3001227,2001-09-23,2025-04-13,7.4,fail
3001014,2000-11-04,2025-05-07,13.0,pass
3000487,1996-12-29,2025-03-09,14.6,fail
3000628,2000-07-14,2025-03-13,15.9,pass
3001191,1993-03-06,2025-04-02,15.4,pass
3000573,2000-02-02,2025-03-22,10.0,fail
3001314,2002-02-24,2025-03-10,5.5,release
3001078,1998-03-16,2025-03-15,9.9,fail
3000974,1998-12-04,2025-05-03,1.2,fail
3000770,2004-01-18,2025-04-30,2.3,release
3001118,1975-05-27,2025-05-05,5.6,fail
3000644,2004-06-05,2025-04-09,7.9,release
3000849,2004-02-27,2025-04-12,8.4,pass
3001085,2000-01-08,2025-03-28,2.0,release
3001445,1991-07-16,2025-04-13,2.8,release
3001303,2001-11-28,2025-03-20,1.3,release
2600171,1992-07-25,2025-04-15,0.2,fail
3001390,1999-09-17,2025-03-11,14.1,fail
3000633,2004-05-01,2025-04-05,0.3,fail
3001748,1992-08-26,2025-04-18,12.6,fail
3001508,1940-01-01,2025-03-10,3.9,fail
3000485,2003-12-29,2025-04-21,0.4,release
3000931,1999-12-02,2025-04-09,0.5,fail
3000934,2001-07-14,2025-03-25,5.8,release
3002566,1993-07-26,2025-03-24,0.7,fail
3001355,2000-07-14,2025-04-30,14.8,fail
3000699,1998-09-12,2025-03-30,7.3,fail
3000884,2002-09-18,2025-03-12,2.3,pass
3000666,2002-02-01,2025-04-07,11.0,pass
3001371,2002-04-22,2025-03-22,4.2,pass
3001043,1997-03-13,2025-04-19,6.1,release
3001111,1999-01-28,2025-04-11,3.3,fail
3001362,2004-08-26,2025-04-03,5.0,fail
3001332,2003-10-04,2025-04-11,3.6,pass
2635233,1995-03-30,2025-04-05,13.2,pass
3000838,2003-05-30,2025-04-10,5.9,fail
1000508,1981-05-05,2025-05-05,3.3,fail
3000528,1998-01-01,2025-04-24,12.9,release
3000747,2001-10-01,2025-04-05,10.8,pass
3001366,1996-09-06,2025-04-15,4.0,fail
3000711,1997-05-10,2025-04-15,12.7,release
2635290,1987-08-01,2025-04-04,11.6,release
3001136,2001-12-23,2025-04-18,5.9,pass
3001447,1991-07-16,2025-05-02,9.5,pass
3000439,2000-03-04,2025-03-12,15.9,pass
2899928,1990-08-25,2025-04-26,12.2,fail
3001036,1999-06-04,2025-03-30,0.4,release
3001040,1996-11-27,2025-04-22,1.8,release
3000988,1998-04-28,2025-03-16,9.3,release
3000779,2003-09-18,2025-04-22,15.6,fail
3000840,1999-06-18,2025-03-09,13.2,release
2918111,1980-01-01,2025-04-28,14.9,release
3001099,2002-08-02,2025-04-24,6.4,fail
1000804,1975-08-03,2025-04-28,2.8,fail
3001357,1993-12-17,2025-04-09,7.2,pass
2921018,1995-03-15,2025-03-28,11.0,fail
3001436,1991-07-16,2025-03-31,13.1,pass
3001013,2002-02-09,2025-04-10,10.5,pass
3001582,1940-01-01,2025-04-07,12.2,pass
3001081,1997-11-18,2025-04-26,12.3,fail
3001503,1940-01-01,2025-04-01,6.6,pass
3001263,2001-08-03,2025-05-02,9.6,pass
2899938,1980-01-01,2025-04-01,4.0,fail
1000834,1985-08-09,2025-04-21,5.1,release
1000818,1990-05-02,2025-03-13,3.5,release
3001879,1978-03-31,2025-04-07,5.9,pass
3000631,2001-02-22,2025-03-19,9.3,pass
3000516,1996-02-24,2025-03-13,13.8,release
3001011,1983-06-27,2025-03-21,2.4,fail
2610535,1985-01-02,2025-03-11,11.0,release
1000475,1978-04-02,2025-03-28,5.9,pass
2600037,1996-09-11,2025-03-15,8.1,pass
3001175,1980-09-15,2025-05-05,15.2,fail
3000868,1999-03-01,2025-04-06,14.6,fail
3001100,1998-02-09,2025-04-21,3.3,pass
2921084,1984-07-26,2025-04-28,8.9,fail
2921100,1983-07-10,2025-04-29,10.0,fail
3001317,1999-03-08,2025-03-27,2.9,fail
1000497,1961-04-05,2025-03-13,11.9,release
3001203,1992-11-11,2025-04-28,4.3,release
3000456,1999-08-05,2025-03-22,5.1,fail
2908359,2000-10-19,2025-05-07,2.9,release
3000773,2000-09-09,2025-04-20,0.8,fail
3001433,1991-07-16,2025-04-10,0.2,fail
3000650,1997-09-18,2025-04-16,6.4,fail
3000957,1989-12-21,2025-04-20,2.2,fail
3001056,1999-10-09,2025-04-06,3.0,pass
3000649,1995-09-20,2025-04-28,7.0,release
3001294,1996-05-15,2025-04-13,9.7,pass
1000478,1989-10-10,2025-04-16,2.9,release
3000812,1997-01-11,2025-03-20,6.7,release
3001091,1975-04-12,2025-04-03,6.8,release
3000978,1998-10-15,2025-03-09,8.8,fail
2600152,1971-02-02,2025-03-10,1.3,release
2918115,1980-01-01,2025-04-26,10.2,fail
1000498,1981-03-02,2025-03-28,15.6,pass
3001046,1995-03-26,2025-04-29,14.0,fail
3000955,2003-09-30,2025-03-18,13.9,fail
3001003,2004-02-24,2025-04-12,15.8,pass
3001265,2004-08-11,2025-04-07,14.2,pass
3001024,1999-05-12,2025-03-29,3.0,pass
3000707,2003-12-02,2025-04-17,5.3,pass
3001083,1991-04-16,2025-04-08,5.3,pass
3001830,1991-07-20,2025-03-28,5.5,pass
3000759,1999-02-12,2025-03-15,3.1,release
3000575,2001-03-07,2025-05-04,0.2,release
3000586,2001-11-10,2025-04-17,4.4,fail
3000977,1989-10-03,2025-05-01,4.8,pass
3001120,2002-08-05,2025-04-02,15.0,fail
3001335,1968-07-11,2025-04-19,1.1,fail
3001788,1999-03-03,2025-03-23,14.2,fail
2632412,1984-02-16,2025-03-13,1.7,fail
3000727,2001-11-08,2025-04-03,3.8,fail
3001386,2003-08-02,2025-03-17,13.0,release
3001329,2001-09-05,2025-04-17,8.8,pass
3001741,1982-04-23,2025-03-25,14.0,fail
3001505,1940-01-01,2025-04-21,7.7,pass
3000410,1991-07-20,2025-03-22,14.9,release
3000011,1991-07-20,2025-03-15,13.9,fail
2635270,1973-02-01,2025-04-02,7.3,release
3001133,1986-09-14,2025-04-24,4.0,pass
3000693,1997-09-09,2025-04-12,14.7,fail
3000921,2000-06-21,2025-04-18,1.2,release
3002576,1999-03-04,2025-04-16,12.7,pass
3001281,1998-08-14,2025-04-29,4.2,release
3000958,2002-06-03,2025-04-04,1.8,pass
3001139,2000-09-24,2025-04-06,2.5,fail
3000567,2002-08-14,2025-04-27,15.5,pass
3000970,1984-01-27,2025-03-26,12.4,release
3000658,2002-03-02,2025-03-22,2.0,release
3001257,2001-03-15,2025-03-19,13.2,pass
3000745,1993-09-25,2025-04-20,1.2,pass
3002550,1991-03-06,2025-05-07,13.1,fail
3000460,1999-09-24,2025-03-11,11.0,pass
3002560,1980-05-11,2025-03-25,1.1,pass
2908409,1971-02-01,2025-04-07,15.2,release
2908309,1996-07-02,2025-04-13,15.1,fail
2600034,1987-01-07,2025-04-23,8.8,fail
3001218,1990-09-29,2025-04-04,10.0,fail
3001048,2002-04-20,2025-03-20,2.5,release
3001745,1980-02-17,2025-05-06,4.6,fail
3000771,2000-07-11,2025-03-22,11.0,release
3001550,1991-07-16,2025-04-21,7.0,pass
3001137,2000-05-02,2025-03-25,2.0,release
3001059,2001-07-03,2025-04-30,12.9,fail
3001524,1991-07-16,2025-04-30,2.8,release
3000465,1988-09-11,2025-03-14,2.4,release
3000627,1977-04-25,2025-04-28,2.3,pass
2635299,1986-06-01,2025-04-09,2.1,pass
3002065,1990-01-01,2025-05-05,7.6,release
3000483,2000-10-22,2025-04-05,4.7,fail
1373464,1977-06-03,2025-04-22,12.0,pass
3001751,1980-05-10,2025-03-26,14.2,pass
3002558,1989-11-13,2025-03-29,15.9,release
3001554,1960-01-01,2025-04-15,7.1,release
3000554,2000-03-18,2025-03-14,13.5,fail
3001387,2002-06-13,2025-04-30,12.3,fail
3000661,1979-06-01,2025-04-29,9.6,fail
2908372,2001-08-24,2025-04-11,12.0,fail
2600136,1989-03-30,2025-04-23,3.5,pass
3001253,1999-04-01,2025-04-15,8.9,fail
3000852,1994-03-14,2025-03-12,7.6,fail
3002574,1977-01-02,2025-05-03,4.4,release
3001431,1991-07-16,2025-04-05,5.0,release
3000781,2000-10-19,2025-03-28,10.1,fail
3000971,2001-07-29,2025-05-02,7.6,pass
3000944,2004-07-24,2025-03-18,9.8,pass
2920950,2008-05-07,2025-04-28,1.3,fail
1000340,1960-01-01,2025-05-05,11.6,fail
3000824,2004-01-27,2025-03-29,1.1,pass
3001148,2000-02-27,2025-04-03,1.7,fail
2600014,1990-09-04,2025-03-27,11.4,release
3000501,2002-09-02,2025-03-31,14.8,pass
3001453,1991-07-16,2025-04-30,13.2,fail
3001273,1997-06-10,2025-04-29,1.4,fail
3000873,2000-07-25,2025-03-11,13.7,release
2600049,1990-09-04,2025-04-21,13.2,fail
3001369,1999-07-12,2025-04-27,2.0,pass
3000854,1999-03-07,2025-04-05,14.9,pass
3000654,1995-05-09,2025-04-30,14.1,fail
3001107,2001-05-10,2025-04-30,8.0,release
2921000,1981-07-10,2025-03-26,14.9,fail
3001127,2004-05-11,2025-05-04,15.2,release
2908385,1974-11-10,2025-03-28,6.2,release
2635231,1995-03-30,2025-04-12,11.5,pass
3000891,2004-01-26,2025-05-05,11.8,release
3001143,2001-09-12,2025-03-24,10.5,fail
2921105,1981-07-10,2025-03-28,3.1,release
3001015,2002-01-04,2025-03-22,1.5,fail
3000418,1991-07-20,2025-04-29,11.0,fail
3001189,2001-02-06,2025-04-13,8.2,fail
3001344,1999-03-03,2025-04-03,8.3,pass
3000685,2000-03-07,2025-03-28,0.2,fail
1000862,1987-05-01,2025-03-12,13.8,fail
3001142,1999-09-05,2025-03-27,0.3,pass
3000736,2001-09-13,2025-04-17,7.4,pass
1000521,1982-03-01,2025-03-22,5.9,fail
2921094,1990-01-01,2025-03-16,11.3,pass
3002559,1991-11-23,2025-04-07,3.5,fail
2920889,1993-02-09,2025-04-24,11.7,pass
2600071,1990-01-01,2025-03-10,6.7,fail
1000849,1986-07-04,2025-03-25,7.6,release
3001915,1988-07-16,2025-04-14,5.6,release
3001434,1991-07-16,2025-03-20,3.9,pass
3001507,1940-01-01,2025-04-19,5.0,fail
3001141,1995-06-27,2025-05-01,9.8,fail
3001022,2002-07-01,2025-04-27,9.0,pass
3001207,2003-11-05,2025-04-05,9.6,pass
3001892,1991-07-16,2025-04-16,14.6,release
3001097,1998-01-19,2025-03-09,0.5,pass
3001301,2001-09-18,2025-04-24,4.4,pass
3001764,1991-07-20,2025-03-23,3.3,pass
2921098,1981-07-10,2025-03-23,6.8,pass
3000959,1996-04-08,2025-04-23,2.5,fail
3000861,2002-04-20,2025-04-24,7.3,release
2600154,1976-10-24,2025-04-15,0.6,pass
3002575,1955-02-03,2025-03-27,8.0,pass
2600108,1988-10-25,2025-03-31,5.1,release
2600147,1984-04-21,2025-03-12,12.8,pass
2908371,2008-07-07,2025-04-17,15.9,pass
3001226,1987-04-13,2025-03-23,14.9,release
3000595,1995-08-23,2025-03-09,9.0,fail
3000462,2002-02-11,2025-03-11,6.2,release
1000468,1991-05-05,2025-03-09,14.2,release
3000194,1991-07-20,2025-03-30,10.9,fail
3000887,2000-12-19,2025-04-19,8.8,release
3001105,1988-10-15,2025-04-05,1.6,release
2908322,1986-04-09,2025-04-01,1.1,fail
3000411,1991-07-20,2025-04-28,1.2,pass
3000401,1992-07-20,2025-03-27,8.6,fail
2920885,1980-01-01,2025-03-25,5.5,fail
3001423,1991-07-16,2025-03-22,8.9,release
3000946,1981-08-25,2025-04-28,12.5,fail
3001450,1991-07-16,2025-03-19,1.8,pass
3001007,1998-08-29,2025-03-23,8.0,pass
3000979,2001-05-08,2025-04-09,6.4,release
3000760,2002-01-11,2025-03-09,3.6,fail
3001062,1990-01-06,2025-03-24,5.3,fail
9002001,1984-03-08,2025-04-22,3.8,pass
3000505,2004-08-09,2025-04-28,3.3,fail
3000775,2000-11-06,2025-04-27,6.9,fail
3000867,1995-09-12,2025-04-27,12.0,pass
2908287,1960-01-01,2025-04-04,4.6,release
3000851,2001-06-26,2025-03-23,1.8,fail
3000038,1970-01-01,2025-03-12,2.7,pass
3001205,1997-03-24,2025-04-29,12.8,pass
2921106,1981-07-20,2025-04-30,4.3,fail
3001873,1976-08-12,2025-04-28,13.4,pass
2920962,1980-01-01,2025-05-01,15.0,release
3000809,1997-08-05,2025-03-15,13.2,fail
1000501,1992-08-02,2025-03-17,10.8,pass
3001194,2003-11-15,2025-04-10,15.9,fail
3001086,1999-05-26,2025-03-30,2.7,pass
3000716,2000-07-03,2025-04-12,7.0,release
3001132,2002-11-21,2025-03-09,15.2,fail
3000827,1995-12-16,2025-04-05,11.8,pass
3000774,1992-05-15,2025-05-04,13.5,release
3001296,2002-03-10,2025-04-25,5.7,release
3001670,1991-07-20,2025-04-20,1.2,release
3000504,2001-05-01,2025-04-22,5.5,fail
3001090,1983-03-24,2025-04-09,4.1,release
3000920,2000-12-10,2025-04-28,2.3,fail
1000863,1986-09-04,2025-04-01,13.9,fail
2921256,1965-08-31,2025-03-28,2.6,release
3002554,1989-05-22,2025-03-23,0.1,release
3000519,2004-02-01,2025-03-13,11.0,fail
3000947,1978-01-10,2025-05-04,6.1,pass
3000550,1999-08-30,2025-03-09,8.6,pass
3000853,1996-05-20,2025-04-03,5.0,fail
3000398,1991-07-20,2025-04-05,0.6,release
2908249,1980-01-01,2025-03-24,5.2,fail
3001834,1976-01-01,2025-04-18,5.5,release
3001552,1990-01-01,2025-04-23,1.6,fail
3001476,1940-01-01,2025-03-29,13.6,pass
3001259,2002-03-24,2025-03-12,2.6,fail
3000990,2002-04-09,2025-05-01,1.9,release
3000753,2000-01-31,2025-03-24,7.5,pass
3001506,1940-01-01,2025-04-20,3.2,fail
2921266,1991-07-20,2025-03-26,4.2,pass
3000858,1999-08-20,2025-03-27,8.1,pass
3001028,2003-09-07,2025-04-20,12.9,fail
3000547,2001-02-10,2025-04-26,4.5,fail
2921095,1981-07-10,2025-04-07,5.9,fail
3001262,1996-09-06,2025-03-29,10.9,pass
3001487,1940-01-01,2025-04-24,4.8,pass
3001061,1992-03-28,2025-04-03,6.9,pass
3000488,1996-07-25,2025-05-04,11.5,fail
3001346,2001-11-20,2025-03-30,13.7,release
3000394,1991-07-20,2025-04-20,14.5,pass
2899939,2000-11-01,2025-03-25,15.3,release
2460665,1977-04-02,2025-04-21,8.5,release
3000484,2002-08-13,2025-03-12,4.5,fail
3001229,2000-08-12,2025-03-17,9.8,pass
3001177,2001-05-15,2025-04-29,5.8,fail
3000639,1984-12-10,2025-04-13,1.8,release
3001531,1991-04-16,2025-04-19,0.1,fail
3002572,1960-05-11,2025-03-24,1.5,fail
3000793,1997-11-12,2025-03-22,6.9,pass
3000480,1992-04-20,2025-04-25,4.3,fail
3001233,2003-08-07,2025-04-24,10.6,release
3001731,1984-07-28,2025-04-02,12.8,release
3001924,1990-01-02,2025-03-16,15.8,pass
1000854,1982-05-05,2025-04-20,15.6,fail
2920897,1988-05-02,2025-04-03,6.4,pass
3000441,1978-01-24,2025-04-12,12.4,fail
3000908,2000-01-12,2025-04-08,2.8,fail
3000968,1997-08-08,2025-03-22,11.8,pass
3001079,2001-04-18,2025-04-20,7.6,pass
2908392,1996-08-16,2025-03-18,4.3,pass
3000850,2004-07-25,2025-05-01,14.1,release
3000883,2004-04-14,2025-05-03,2.9,release
1000473,1985-05-01,2025-03-27,1.5,release
3000014,2001-03-20,2025-03-09,10.6,release
3001065,2002-02-14,2025-04-07,2.0,fail
3000799,2001-03-06,2025-03-15,0.1,release
3000969,2002-09-04,2025-04-06,3.9,pass
3000611,2004-05-18,2025-04-23,5.5,fail
1000513,1991-01-01,2025-05-03,3.9,pass
1000199,1980-01-01,2025-03-14,12.3,release
3000728,2002-04-10,2025-04-02,1.5,release
3000914,2000-02-20,2025-04-18,5.0,pass
2921270,1981-09-16,2025-04-04,0.7,fail
2600150,1974-10-07,2025-04-05,14.1,release
3001179,2003-08-30,2025-04-21,6.1,pass
3001437,1991-07-16,2025-04-08,13.2,release
1002076,1990-01-01,2025-03-19,3.4,pass
3000783,2002-10-07,2025-04-29,8.9,release
2635287,1990-01-11,2025-04-20,1.2,pass
1000509,1992-02-02,2025-03-10,10.1,fail
2600174,1987-10-13,2025-03-31,12.7,release
2610530,1991-05-23,2025-04-02,10.0,pass
3000726,2000-07-26,2025-03-13,0.8,fail
3000691,2001-05-01,2025-04-21,10.7,pass
3000492,2002-06-01,2025-03-27,3.6,release
1000470,1971-01-01,2025-03-27,5.7,release
3000972,1990-11-27,2025-03-11,15.6,release
3000892,2004-07-13,2025-03-16,3.9,fail
3001029,2000-11-20,2025-03-16,15.1,pass
3001737,1991-11-22,2025-03-28,0.6,release
3000542,2000-04-19,2025-05-04,15.8,fail
3001087,1999-08-24,2025-04-29,12.0,fail
3001025,1997-10-21,2025-03-10,15.5,pass
3000698,1999-06-20,2025-03-26,7.8,release
3001121,1979-11-01,2025-05-07,12.9,fail
3000455,1992-09-01,2025-05-03,3.3,pass
3001709,1991-07-16,2025-04-20,9.5,pass
3001674,1991-07-16,2025-03-19,6.8,pass
3000720,2000-05-25,2025-03-11,1.2,pass
3000452,1997-08-25,2025-04-12,10.3,fail
3001115,2001-11-29,2025-04-14,0.2,fail
3001395,2003-04-18,2025-04-13,16.0,pass
3000636,2000-08-02,2025-03-16,4.3,fail
3001455,1991-07-16,2025-04-26,4.5,pass
2600050,2000-01-28,2025-04-30,16.0,fail
3001031,2003-10-19,2025-04-25,15.3,fail
3001058,1990-08-16,2025-03-13,13.1,pass
3001829,1991-07-16,2025-03-11,10.5,release
3000813,2003-07-02,2025-03-19,9.0,fail
2908354,2000-05-10,2025-04-26,4.5,fail
3000880,2002-06-09,2025-04-04,6.1,fail
3001232,1998-11-05,2025-04-03,4.1,pass
3001388,1997-09-02,2025-03-29,5.2,pass
2645638,1980-01-01,2025-03-28,5.9,fail
3001235,1995-09-27,2025-03-18,12.4,pass
3001368,2002-09-22,2025-04-24,15.1,fail
3001465,1978-01-01,2025-03-30,10.0,fail
3001008,1990-12-23,2025-05-06,13.6,release
3000471,1996-11-01,2025-03-31,8.2,release
3000541,1999-05-30,2025-03-19,7.2,fail
3000842,2002-09-02,2025-05-06,5.0,fail
